time,value,particle
0.0,0.0,0
1.0,5.0,0
2.0,3.0,0
3.0,0.0,0
4.0,2.0,0
5.0,2.0,0
6.0,2.0,0
7.0,1.0,0
8.0,4.0,0
9.0,14.0,0
10.0,5.0,0
11.0,5.0,0
12.0,8.0,0
13.0,7.0,0
14.0,4.0,0
15.0,4.0,0
16.0,1.0,0
17.0,4.0,0
18.0,3.0,0
19.0,2.0,0
20.0,6.0,0
21.0,5.0,0
22.0,5.0,0
23.0,6.0,0
24.0,8.0,0
25.0,11.0,0
26.0,14.0,0
27.0,17.0,0
28.0,16.0,0
29.0,29.0,0
30.0,27.0,0
31.0,42.0,0
32.0,42.0,0
33.0,51.0,0
34.0,69.0,0
35.0,78.0,0
36.0,93.0,0
37.0,86.0,0
38.0,107.0,0
39.0,119.0,0
40.0,143.0,0
41.0,138.0,0
42.0,165.0,0
43.0,204.0,0
44.0,210.0,0
45.0,222.0,0
46.0,277.0,0
47.0,329.0,0
48.0,372.0,0
49.0,428.0,0
50.0,453.0,0
51.0,502.0,0
52.0,547.0,0
53.0,636.0,0
54.0,722.0,0
55.0,830.0,0
56.0,860.0,0
57.0,940.0,0
58.0,1026.0,0
59.0,1120.0,0
60.0,1107.0,0
61.0,1291.0,0
62.0,1316.0,0
63.0,1376.0,0
64.0,1411.0,0
65.0,1458.0,0
66.0,1497.0,0
67.0,1526.0,0
68.0,1568.0,0
69.0,1623.0,0
70.0,1594.0,0
71.0,1536.0,0
72.0,1589.0,0
73.0,1436.0,0
74.0,1405.0,0
75.0,1405.0,0
76.0,1361.0,0
77.0,1339.0,0
78.0,1334.0,0
79.0,1230.0,0
80.0,1134.0,0
81.0,1124.0,0
82.0,1072.0,0
83.0,1044.0,0
84.0,921.0,0
85.0,905.0,0
86.0,889.0,0
87.0,761.0,0
88.0,781.0,0
89.0,716.0,0
90.0,647.0,0
91.0,669.0,0
92.0,551.0,0
93.0,549.0,0
94.0,497.0,0
95.0,432.0,0
96.0,457.0,0
97.0,402.0,0
98.0,360.0,0
99.0,392.0,0
100.0,328.0,0
101.0,310.0,0
102.0,286.0,0
103.0,285.0,0
104.0,249.0,0
105.0,197.0,0
106.0,197.0,0
107.0,211.0,0
108.0,216.0,0
109.0,170.0,0
110.0,189.0,0
111.0,152.0,0
112.0,132.0,0
113.0,127.0,0
114.0,112.0,0
115.0,122.0,0
116.0,110.0,0
117.0,109.0,0
118.0,99.0,0
119.0,107.0,0
120.0,98.0,0
121.0,91.0,0
122.0,96.0,0
123.0,69.0,0
124.0,73.0,0
125.0,58.0,0
126.0,53.0,0
127.0,58.0,0
128.0,59.0,0
129.0,52.0,0
130.0,66.0,0
131.0,59.0,0
132.0,64.0,0
133.0,63.0,0
134.0,57.0,0
135.0,63.0,0
136.0,75.0,0
137.0,79.0,0
138.0,80.0,0
139.0,65.0,0
140.0,57.0,0
